Provisioning : Storage Systems : V400_B94 : Virtual Volumes - Virtual Volumes

Name,State,Virtual Size (GiB),Reserved User Size (GiB),Exported To,RC Group
AIXSASP2_DATAVG_0_repli,Normal,500 000 GiB,315 000 GiB,--,AIXSASP2.r39317
AIXSASP2_DATAVG_1_repli,Normal,540 000 GiB,521 000 GiB,--,AIXSASP2.r39317
AIXSASP2_DATAVG_2_repli,Normal,540 000 GiB,353 000 GiB,--,AIXSASP2.r39317
AIXSASP2_DATAVG_3_repli,Normal,500 000 GiB,402 000 GiB,--,AIXSASP2.r39317
AIXSASP2_DATAVG_4_repli,Normal,500 000 GiB,412 000 GiB,--,AIXSASP2.r39317
AIXSASP2_DATAVG_5_repli,Normal,800 000 GiB,801 000 GiB,--,AIXSASP2.r39317
AIXSASP2_DATAVG_6_repli,Normal,800 000 GiB,801 000 GiB,--,AIXSASP2.r39317
AIXSASP2_DATAVG_9_repli,Normal,540 000 GiB,467 000 GiB,--,AIXSASP2.r39317
AIXSASP2_DATAVG_13_repli,Normal,500 000 GiB,338 000 GiB,--,AIXSASP2.r39317
AIXSASP2_DATAVG_14_repli,Normal,700 000 GiB,153 000 GiB,--,AIXSASP2.r39317
AIXSASP2_DATAVG_15_repli,Normal,500 000 GiB,34 000 GiB,--,AIXSASP2.r39317
AIXSASP2_OSCARVG_8_repli,Normal,140 000 GiB,90 000 GiB,--,AIXSASP2.r39317
AIXSASP2_ROOTVG_7_repli,Normal,50 000 GiB,43 000 GiB,--,AIXSASP2.r39317
AIXSASP2_ROOTVG_MIG_repli,Normal,50 000 GiB,16 000 GiB,--,AIXSASP2.r39317
AIXSASP2_SNAPVG_10_repli,Normal,512 000 GiB,513 000 GiB,--,AIXSASP2.r39317
AIXTSMC_ACTLOGTSMCVG_3_repli,Normal,35 000 GiB,35 000 GiB,--,AIXTSMC.r39317
AIXTSMC_ARCLFOTSMCVG_5_repli,Normal,17 000 GiB,18 000 GiB,--,AIXTSMC.r39317
AIXTSMC_ARCLOGTSMCVG_4_repli,Normal,35 000 GiB,36 000 GiB,--,AIXTSMC.r39317
AIXTSMC_DBTSMCVG_1_repli,Normal,71 000 GiB,72 000 GiB,--,AIXTSMC.r39317
AIXTSMC_DBTSMCVG_2_repli,Normal,71 000 GiB,71 000 GiB,--,AIXTSMC.r39317
AIXTSMC_DBTSMCVG_3_repli,Normal,71 000 GiB,65 000 GiB,--,AIXTSMC.r39317
AIXTSMC_DBTSMCVG_4_repli,Normal,71 000 GiB,61 000 GiB,--,AIXTSMC.r39317
AIXTSMC_ROOTVG_0_repli,Normal,50 000 GiB,23 000 GiB,--,AIXTSMC.r39317
AIXTSMC_STG-DISK-TSMC_6_repli,Normal,124 000 GiB,120 000 GiB,--,AIXTSMC.r39317
AIXTSMC_STG-DISK-TSMC_7_repli,Normal,124 000 GiB,120 375 GiB,--,AIXTSMC.r39317
AIXTSMC_STG-DISK-TSMC_8_repli,Normal,124 000 GiB,119 000 GiB,--,AIXTSMC.r39317
AIXTSMC_STG-DISK-TSMC_9_repli,Normal,124 000 GiB,116 000 GiB,--,AIXTSMC.r39317
AIXTSMC_STG-DISK-TSMC_10_repli,Normal,124 000 GiB,117 375 GiB,--,AIXTSMC.r39317
AIXTSMC_STG-DISK-TSMC_11_repli,Normal,124 000 GiB,107 000 GiB,--,AIXTSMC.r39317
AIXTSMC_STG-DISK-TSMC_12_repli,Normal,124 000 GiB,99 000 GiB,--,AIXTSMC.r39317
AIXTSMC_STG-DISK-TSMC_13_repli,Normal,124 000 GiB,37 000 GiB,--,AIXTSMC.r39317
AIXTSMC_UPGRADE_17_repli,Normal,500 000 GiB,369 000 GiB,--,AIXTSMC.r39317
AIXTSMC_VAX_repli,Normal,200 000 GiB,77 000 GiB,--,AIXTSMC.r39317
AIXWEBP_APPLIVG_0_repli,Normal,200 000 GiB,191 000 GiB,--,AIXWEBP.r39317
AIXWEBP_APPLIVG_1_repli,Normal,100 000 GiB,95 000 GiB,--,AIXWEBP.r39317
AIXWEBP_APPLIVG_2_repli,Normal,200 000 GiB,196 875 GiB,--,AIXWEBP.r39317
AIXWEBP_APPLIVG_3_repli,Normal,300 000 GiB,238 000 GiB,--,AIXWEBP.r39317
AIXWEBP_ROOTVG_3_repli,Normal,50 000 GiB,24 000 GiB,--,AIXWEBP.r39317
AIXWEBW_APPLIVG_1_repli,Normal,30 000 GiB,24 000 GiB,--,AIXWEBW.r39317
AIXWEBW_APPLIVG_2_repli,Normal,30 000 GiB,17 000 GiB,--,AIXWEBW.r39317
AIXWEBW_APPLIVG_3_repli,Normal,30 000 GiB,5 000 GiB,--,AIXWEBW.r39317
AIXWEBW_A0PPVG_0_repli,Normal,180 000 GiB,169 000 GiB,--,AIXWEBW.r39317
AIXWEBW_NOSECUREVG_4_repli,Normal,120 000 GiB,120 250 GiB,--,AIXWEBW.r39317
AIXWEBW_NOSECUREVG_5_repli,Normal,100 000 GiB,100 250 GiB,--,AIXWEBW.r39317
AIXWEBW_NOSECUREVG_6_repli,Normal,100 000 GiB,97 000 GiB,--,AIXWEBW.r39317
AIXWEBW_ROOTVG_7_repli,Normal,30 000 GiB,17 000 GiB,--,AIXWEBW.r39317
AIXZEPHIR_BDD,Normal,750 000 GiB,261 000 GiB,AIX_ZEPHIR,AIXZEPHYR
AIXZEPHIR_INS,Normal,2 000 GiB,3 000 GiB,AIX_ZEPHIR,AIXZEPHYR
AIXZEPHIR_ROOTVG,Normal,30 000 GiB,22 000 GiB,AIX_ZEPHIR,AIXZEPHYR
AIXZEPHIR_STG,Normal,2 500 000 GiB,1 803 250 GiB,AIX_ZEPHIR,AIXZEPHYR
ESX09_01A,Normal,1 500 GiB,2 000 GiB,ESX_09_T,--
ESX09_01B,Normal,750 000 GiB,104 125 GiB,ESX_09_T,ESX09
ESX09_01C,Normal,5 000 GiB,4 000 GiB,ESX_09_T,ESX09
ESX09_01D,Normal,750 000 GiB,411 375 GiB,ESX_09_T,--
ESX25_017_T_repli,Normal,750 000 GiB,210 750 GiB,--,ESX25.r39317
ESX_1AA_P_repli,Normal,2 000 000 GiB,1 150 875 GiB,--,ESX_LUN1_P.r39317
ESX_1AC_P_RET_repli,Normal,1 500 000 GiB,1 204 000 GiB,--,ESX_LUN3_P_RET.r39317
ESX_1B2_P_MIX_repli,Normal,2 000 000 GiB,1 539 125 GiB,--,ESX_LUN6_P_MIX.r39317
ESX_1BD_P_MIX,Normal,1 500 000 GiB,1 068 625 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN12_P_MIX
ESX_1BE_P_MIX,Normal,1 600 000 GiB,702 250 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN13_P_MIX
ESX_1D4_P_ASS_repli,Normal,1 500 000 GiB,713 000 GiB,--,ESX_LUN7_P_ASS.r39317
ESX_1E5_P_MIX_repli,Normal,2 100 000 GiB,1 541 875 GiB,--,ESX_LUN8_P_MIX.r39317
ESX_1E5_P_QUATREM,Normal,1 500 000 GiB,887 875 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN16_P_QUATREM
ESX_1E6_P_QUATREM,Normal,1 500 000 GiB,1 200 125 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN17_P_QUATREM
ESX_1EA_P_ASS,Normal,2 000 000 GiB,1 227 625 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN21_P_ASS
ESX_1EB_P_MIX,Normal,2 050 000 GiB,1 100 500 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN22_P_MIX
ESX_1EC_P_MIX,Normal,2 000 000 GiB,997 125 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN23_P_MIX
ESX_1ED_P_MIX,Normal,2 050 000 GiB,807 750 GiB,ESX_91_P  ESX_119_P  ESX_129_P  ESX_127_P  ESX_115_P  ESX_139_P  ESX_125_P  ESX_137_P  ESX_99_P  ESX_123_P  ESX_135_P  ESX_65_P  ESX_97_P  ESX_89_P  ESX_121_P  ESX_133_P  ESX_101_P  ESX_143_P  ESX_153_P  ESX_131_P  ESX_141_P  ESX_151_P  ESX_85_P  ESX_93_P  <html><i>set:</i>ESX_P_B94</html>,ESX_LUN24_P_MIX
