Provisioning : Storage Systems : A92_T400 : Virtual Volumes - Virtual Volumes

Name,Set,State,Virtual Size (GiB),Reserved User Size (GiB),Exported To,RC Group
PIXUR481_DATAVG,--,Normal,30 000 GiB,14 000 GiB,PIX_UR_481,--
PIXUR481_ROOTVG,--,Normal,50 000 GiB,7 000 GiB,PIX_UR_481,--
PIXUR901_DATAVG,--,Normal,30 000 GiB,14 000 GiB,PIX_UR_901,--
PIXUR901_ROOTVG,--,Normal,50 000 GiB,7 000 GiB,PIX_UR_901,--
PIXUR911_DATAVG,--,Normal,30 000 GiB,16 000 GiB,PIX_UR_911,--
PIXUR911_ROOTVG,--,Normal,50 000 GiB,7 000 GiB,PIX_UR_911,--
PIXURTL1_DATAVG,--,Normal,30 000 GiB,5 000 GiB,PIX_UR_TL1,--
PIXURTL1_ROOTVG,--,Normal,50 000 GiB,7 000 GiB,PIX_UR_TL1,--
PIXURWTC_DATAVG,--,Normal,30 000 GiB,20 000 GiB,PIX_UR_WTC,--
PIXURWTC_ROOTVG,--,Normal,50 000 GiB,11 000 GiB,PIX_UR_WTC,--
PIXURWTD_DATAVG,--,Normal,30 000 GiB,17 000 GiB,PIX_UR_WTD,--
PIXURWTD_ROOTVG,--,Normal,50 000 GiB,12 000 GiB,PIX_UR_WTD,--
PIXURWTE_DATAVG,--,Normal,30 000 GiB,20 000 GiB,PIX_UR_WTE,--
PIXURWTE_ROOTVG,--,Normal,50 000 GiB,12 000 GiB,PIX_UR_WTE,--
PIXURWTF_DATAVG,--,Normal,30 000 GiB,16 000 GiB,PIX_UR_WTF,--
PIXURWTF_ROOTVG,--,Normal,50 000 GiB,12 000 GiB,PIX_UR_WTF,--
PIXURWTH_DATAVG,--,Normal,30 000 GiB,20 000 GiB,PIX_UR_WTH,--
PIXURWTH_ROOTVG,--,Normal,50 000 GiB,11 000 GiB,PIX_UR_WTH,--
PIXURWTI_DATAVG,--,Normal,30 000 GiB,9 000 GiB,PIX_UR_WTI,--
PIXURWTI_ROOTVG,--,Normal,50 000 GiB,7 000 GiB,PIX_UR_WTI,--
WIN2APP003_C,--,Normal,70 000 GiB,22 000 GiB,WIN2APP003,--
WIN2APP003_E,--,Normal,200 000 GiB,32 000 GiB,WIN2APP003,--
WIN2APP004_D,--,Normal,500 000 GiB,374 750 GiB,WIN2APP004,--
WIN2APP004_C,--,Normal,70 000 GiB,52 875 GiB,WIN2APP004,--
WIN2APP004_E,--,Normal,200 000 GiB,183 500 GiB,WIN2APP004,--
WIN2BDD002_C,--,Normal,60 000 GiB,33 000 GiB,WIN2BDD002,--
WIN2BDD002_D,--,Normal,300 000 GiB,251 000 GiB,WIN2BDD002,--
WIN2BDD002_E,--,Normal,120 000 GiB,102 000 GiB,WIN2BDD002,--
WINPBDD001_C,--,Normal,60 000 GiB,50 000 GiB,WINPBDD001,--
